,host,events,duration,implementation
0,athena,10000000,0.5149252414703369,SYCL-dpcp
0,athena,10000000,0.5485310554504395,SYCL-dpcp
0,athena,10000000,0.5476300716400146,SYCL-dpcp
0,athena,10000000,0.5475773811340332,SYCL-dpcp
0,athena,10000000,0.5468063354492188,SYCL-dpcp
0,athena,10000000,0.5470173358917236,SYCL-dpcp
0,athena,10000000,0.547119140625,SYCL-dpcp
0,athena,10000000,0.5476245880126953,SYCL-dpcp
0,athena,10000000,0.5472068786621094,SYCL-dpcp
0,athena,10000000,0.5579214096069336,SYCL-dpcp
0,athena,10000000,0.5475733280181885,SYCL-dpcp
0,athena,10000000,0.5492215156555176,SYCL-dpcp
0,athena,10000000,0.5837924480438232,SYCL-dpcp
0,athena,10000000,0.5652406215667725,SYCL-dpcp
0,athena,10000000,0.5472357273101807,SYCL-dpcp
0,athena,10000000,0.5453615188598633,SYCL-dpcp
0,athena,10000000,0.5467534065246582,SYCL-dpcp
0,athena,10000000,0.5466001033782959,SYCL-dpcp
0,athena,10000000,0.5462081432342529,SYCL-dpcp
0,athena,10000000,0.5459780693054199,SYCL-dpcp
0,athena,10000000,0.5460295677185059,SYCL-dpcp
0,athena,10000000,0.5454790592193604,SYCL-dpcp
0,athena,10000000,0.5462393760681152,SYCL-dpcp
0,athena,10000000,0.5457026958465576,SYCL-dpcp
0,athena,10000000,0.5456995964050293,SYCL-dpcp
0,athena,10000000,0.545748233795166,SYCL-dpcp
0,athena,10000000,0.545630931854248,SYCL-dpcp
0,athena,10000000,0.5458955764770508,SYCL-dpcp
0,athena,10000000,0.5458831787109375,SYCL-dpcp
0,athena,10000000,0.5464234352111816,SYCL-dpcp
0,athena,10000000,0.5660700798034668,SYCL-dpcp
0,athena,10000000,0.5716278553009033,SYCL-dpcp
0,athena,10000000,0.5465693473815918,SYCL-dpcp
0,athena,10000000,0.5451676845550537,SYCL-dpcp
0,athena,10000000,0.5480453968048096,SYCL-dpcp
0,athena,10000000,0.545973539352417,SYCL-dpcp
0,athena,10000000,0.5457065105438232,SYCL-dpcp
0,athena,10000000,0.5455243587493896,SYCL-dpcp
0,athena,10000000,0.5465474128723145,SYCL-dpcp
0,athena,10000000,0.544687032699585,SYCL-dpcp
0,athena,10000000,0.5465309619903564,SYCL-dpcp
0,athena,10000000,0.5460381507873535,SYCL-dpcp
0,athena,10000000,0.5455131530761719,SYCL-dpcp
0,athena,10000000,0.5461738109588623,SYCL-dpcp
0,athena,10000000,0.5457189083099365,SYCL-dpcp
0,athena,10000000,0.5450196266174316,SYCL-dpcp
0,athena,10000000,0.5463011264801025,SYCL-dpcp
0,athena,10000000,0.5453786849975586,SYCL-dpcp
0,athena,10000000,0.5607314109802246,SYCL-dpcp
0,athena,10000000,0.5728371143341064,SYCL-dpcp
